ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,-94.09824,120.000329792656,120.00032981637914,-94.09824,-94.09824,214.09856980474814,214.09856980474814,214.09856980474814,1.1642015060704365,1.1642015060704365,1.1642015060704365,212.93436829867773,212.93436829867773,212.93436829867773,0.0,0.0,0.0,120.00032980474813
2023-01-02,-161.29084,134.99996823783786,134.99996826076602,-161.29084,-161.29084,296.29080824903184,296.29080824903184,296.29080824903184,-5.932944845416298,-5.932944845416298,-5.932944845416298,302.22375309444817,302.22375309444817,302.22375309444817,0.0,0.0,0.0,134.99996824903184
2023-01-03,-232.52935999999997,127.99965021330647,127.99965023712896,-232.52935999999997,-232.52935999999997,360.52901022524065,360.52901022524065,360.52901022524065,-21.512419016881875,-21.512419016881875,-21.512419016881875,382.0414292421225,382.0414292421225,382.0414292421225,0.0,0.0,0.0,127.99965022524069
2023-01-04,-303.7678801268492,149.99929509761873,149.99929512059174,-303.7678801268492,-303.7678801268492,453.7671752361825,453.7671752361825,453.7671752361825,-1.2548962694534147,-1.2548962694534147,-1.2548962694534147,455.02207150563595,455.02207150563595,455.02207150563595,0.0,0.0,0.0,149.99929510933327
2023-01-05,-375.07333505369843,159.99892599076512,159.99892601317788,-375.07333505369843,-375.07333505369843,535.0722610556091,535.0722610556091,535.0722610556091,10.883141999992123,10.883141999992123,10.883141999992123,524.1891190556171,524.1891190556171,524.1891190556171,0.0,0.0,0.0,159.99892600191072
2023-01-06,-446.3787901224418,139.99856246334738,139.9985624860992,-446.3787901224418,-446.3787901224418,586.3773525972554,586.3773525972554,586.3773525972554,-6.483808112400604,-6.483808112400604,-6.483808112400604,592.861160709656,592.861160709656,592.861160709656,0.0,0.0,0.0,139.99856247481358
2023-01-07,-517.6842451360263,169.9981768140112,169.9981768363948,-517.6842451360263,-517.6842451360263,687.6824219614166,687.6824219614166,687.6824219614166,23.136724738159415,23.136724738159415,23.136724738159415,664.5456972232571,664.5456972232571,664.5456972232571,0.0,0.0,0.0,169.99817682539026
2023-01-08,-588.989700448567,154.99779159929682,154.9977916227914,-588.989700448567,-588.989700448567,743.9874920598824,743.9874920598824,743.9874920598824,1.1642015060373492,1.1642015060373492,1.1642015060373492,742.8232905538449,742.8232905538449,742.8232905538449,0.0,0.0,0.0,154.9977916113154
2023-01-09,-660.2951558252616,164.99737054489407,164.99737056876305,-660.2951558252616,-660.2951558252616,825.2925263825274,825.2925263825274,825.2925263825274,-5.9329448454445695,-5.9329448454445695,-5.9329448454445695,831.2254712279721,831.2254712279721,831.2254712279721,0.0,0.0,0.0,164.99737055726575
2023-01-10,-731.6006112019563,179.99700894060737,179.99700896297892,-731.6006112019563,-731.6006112019563,911.5976201534345,911.5976201534345,911.5976201534345,-21.51241901678504,-21.51241901678504,-21.51241901678504,933.1100391702195,933.1100391702195,933.1100391702195,0.0,0.0,0.0,179.99700895147816
